"","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%","Effective N"
"deviance",-1810,18.3,0.472,0.922,-1840,-1820,-1810,-1800,-1770,366
"CLHat",10.1,0.667,0.0172,0.0225,8.89,9.71,10.1,10.6,11.5,913
"QHat",16.8,1.62,0.0417,0.0694,14.2,15.6,16.5,17.8,20.5,364
"V1Hat",32.8,5.92,0.153,0.128,22.7,26.4,34.6,37.4,42,334
"V2Hat",103,10.5,0.27,0.437,86,96,102,109,127,446
"kaHat",1.65,0.323,0.00835,0.00753,1.11,1.31,1.76,1.9,2.15,336
"sigmaPK",0.101,0.00221,5.71e-05,6.91e-05,0.0965,0.0991,0.101,0.102,0.105,1190
"alphaHat",0.000312,8.44e-05,2.18e-06,5.89e-06,0.000192,0.000255,0.000297,0.000348,0.000524,0
"circ0Hat",5.23,0.349,0.009,0.0102,4.55,5,5.22,5.45,5.94,1250
"mttHat",114,14.1,0.364,1.09,91.9,104,112,122,148,61
"gamma",0.161,0.0257,0.000664,0.000769,0.119,0.143,0.159,0.177,0.218,1150
"omegaAlpha",0.418,0.235,0.00606,0.0173,0.0585,0.246,0.398,0.564,0.944,156
"omegaCirc0",0.332,0.0526,0.00136,0.00141,0.244,0.294,0.326,0.364,0.452,1500
"omegaMtt",0.152,0.0735,0.0019,0.00479,0.0598,0.0966,0.137,0.188,0.339,258
"sigmaNeut",0.239,0.00989,0.000255,0.000257,0.221,0.232,0.239,0.246,0.259,1460
"omegaPK[1,1]",0.0719,0.0257,0.000663,0.000701,0.0388,0.0539,0.0667,0.0832,0.139,1420
"omegaPK[1,2]",0.0127,0.0203,0.000524,0.000754,-0.0257,0.000238,0.0116,0.0236,0.0581,910
"omegaPK[1,3]",0.0027,0.0331,0.000855,0.00138,-0.0734,-0.0114,0.00552,0.0207,0.066,346
"omegaPK[1,4]",-0.00431,0.0235,0.000606,0.000677,-0.0509,-0.0178,-0.00366,0.00999,0.0408,1230
"omegaPK[1,5]",0.0251,0.0331,0.000855,0.00135,-0.0414,0.00729,0.0241,0.0415,0.0987,389
"omegaPK[2,1]",0.0127,0.0203,0.000524,0.000754,-0.0257,0.000238,0.0116,0.0236,0.0581,910
"omegaPK[2,2]",0.0815,0.0318,0.00082,0.00119,0.0384,0.0589,0.075,0.0959,0.165,825
"omegaPK[2,3]",0.00182,0.0405,0.00105,0.00198,-0.0693,-0.0215,-0.00223,0.0198,0.0961,422
"omegaPK[2,4]",0.0511,0.0294,0.000759,0.00104,0.00578,0.031,0.047,0.0658,0.122,713
"omegaPK[2,5]",0.0199,0.0385,0.000995,0.00171,-0.0468,-0.0024,0.0154,0.037,0.108,229
"omegaPK[3,1]",0.0027,0.0331,0.000855,0.00138,-0.0734,-0.0114,0.00552,0.0207,0.066,346
"omegaPK[3,2]",0.00182,0.0405,0.00105,0.00198,-0.0693,-0.0215,-0.00223,0.0198,0.0961,422
"omegaPK[3,3]",0.159,0.119,0.00307,0.00349,0.044,0.0779,0.112,0.212,0.454,282
"omegaPK[3,4]",0.0202,0.0433,0.00112,0.0021,-0.0581,-0.00377,0.0173,0.0388,0.114,242
"omegaPK[3,5]",0.0489,0.0959,0.00247,0.00269,-0.0598,-0.0162,0.0124,0.0986,0.294,248
"omegaPK[4,1]",-0.00431,0.0235,0.000606,0.000677,-0.0509,-0.0178,-0.00366,0.00999,0.0408,1230
"omegaPK[4,2]",0.0511,0.0294,0.000759,0.00104,0.00578,0.031,0.047,0.0658,0.122,713
"omegaPK[4,3]",0.0202,0.0433,0.00112,0.0021,-0.0581,-0.00377,0.0173,0.0388,0.114,242
"omegaPK[4,4]",0.122,0.0461,0.00119,0.0015,0.0597,0.0894,0.113,0.145,0.231,1080
"omegaPK[4,5]",-0.00402,0.0433,0.00112,0.00204,-0.0916,-0.0272,-0.00426,0.0182,0.0831,175
"omegaPK[5,1]",0.0251,0.0331,0.000855,0.00135,-0.0414,0.00729,0.0241,0.0415,0.0987,389
"omegaPK[5,2]",0.0199,0.0385,0.000995,0.00171,-0.0468,-0.0024,0.0154,0.037,0.108,229
"omegaPK[5,3]",0.0489,0.0959,0.00247,0.00269,-0.0598,-0.0162,0.0124,0.0986,0.294,248
"omegaPK[5,4]",-0.00402,0.0433,0.00112,0.00204,-0.0916,-0.0272,-0.00426,0.0182,0.0831,175
"omegaPK[5,5]",0.161,0.112,0.00288,0.00532,0.0472,0.0815,0.123,0.208,0.464,80
