"","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%","Effective N"
"deviance",-558.438861111111,14.6688684808742,0.244481141347903,0.286446991441142,-585.1025,-568.6,-559.1,-548.8,-527.6,2420.45462746449
"CLHat",23.9624055555556,1.09864388455773,0.0183107314092955,0.0176708844115582,21.89975,23.2475,23.95,24.66,26.21025,3480.05424671843
"QHat",9.91982472222222,0.604485031188774,0.0100747505198129,0.0236980799119253,8.701975,9.519,9.915,10.31,11.16025,309.311158319329
"V1Hat",41.7751555555556,6.8457224768691,0.114095374614485,0.439160409069108,30.65975,36.42,41.145,46.5325,55.981,46.4741551118095
"V2Hat",75.9916,4.33202948536512,0.072200491422752,0.169472563310630,67.88975,73.08,75.85,78.94,84.5805,345.029523533358
"DkaHat",0.786327888888889,0.138958579626776,0.00231597632711293,0.00924829387439026,0.562195,0.674375,0.7711,0.883825,1.073025,43.9094524305263
"sigma",0.0934215805555556,0.00447784336694009,7.46307227823349e-05,8.1100789291347e-05,0.08533925,0.09035,0.093215,0.09627,0.1028,2836.17420937246
"omega[1,1]",0.040651275,0.0143719913622862,0.000239533189371437,0.000241126958409958,0.02094,0.030545,0.037825,0.0477525,0.07587125,3598.27321854479
"omega[1,2]",0.00238932901777778,0.0112685330517754,0.000187808884196257,0.000223895457377163,-0.01914425,-0.00419575,0.002117,0.0082225,0.0265935,2663.6073362924
"omega[1,3]",0.0164549531586111,0.0186233428531743,0.000310389047552906,0.000596423673992904,-0.0159015,0.0048815,0.01471,0.02605,0.05989225,897.492919205437
"omega[1,4]",-0.000712479111944444,0.010739473728583,0.000178991228809717,0.000219398010555157,-0.02366125,-0.00697275,-0.00074665,0.0055965,0.02092125,2931.40174684303
"omega[1,5]",-0.0137095856877778,0.0184055912954829,0.000306759854924714,0.000685864733042624,-0.0556505,-0.0235575,-0.01224,-0.00222075,0.01903,851.750620017736
"omega[2,1]",0.00238932901777778,0.0112685330517754,0.000187808884196257,0.000223895457377163,-0.01914425,-0.00419575,0.002117,0.0082225,0.0265935,2663.6073362924
"omega[2,2]",0.04316395,0.0181970533357976,0.000303284222263293,0.000497488490150855,0.019129,0.0305,0.039395,0.05143,0.0868595,1629.75508631966
"omega[2,3]",-0.00150620976833333,0.0222835739781072,0.00037139289963512,0.000908895883727072,-0.051501,-0.01242,0.00027155,0.0113925,0.038221,502.552854034954
"omega[2,4]",0.0146641658138889,0.0134389772754583,0.000223982954590972,0.000400452098632882,-0.0061311,0.00588275,0.01273,0.02161,0.04626575,1342.80553088519
"omega[2,5]",-0.006602415645,0.0206323562072572,0.000343872603454287,0.00079243836246539,-0.05482525,-0.01691,-0.0050685,0.00487725,0.031493,700.845103046149
"omega[3,1]",0.0164549531586111,0.0186233428531743,0.000310389047552906,0.000596423673992904,-0.0159015,0.0048815,0.01471,0.02605,0.05989225,897.492919205437
"omega[3,2]",-0.00150620976833333,0.0222835739781072,0.00037139289963512,0.000908895883727072,-0.051501,-0.01242,0.00027155,0.0113925,0.038221,502.552854034954
"omega[3,3]",0.105159697222222,0.0559690703603511,0.000932817839339186,0.00277724691666568,0.0364495,0.0666675,0.09218,0.1296,0.247315,378.093915793087
"omega[3,4]",-0.00680382294083333,0.0217927128541429,0.000363211880902382,0.000934055328305021,-0.05636475,-0.0181375,-0.0048705,0.006426,0.0315310000000000,547.983775541415
"omega[3,5]",-0.00951269747277778,0.0326264062252504,0.000543773437087507,0.00146084370264364,-0.06742275,-0.028515,-0.012445,0.00623625,0.063566,448.007177114857
"omega[4,1]",-0.000712479111944444,0.010739473728583,0.000178991228809717,0.000219398010555157,-0.02366125,-0.00697275,-0.00074665,0.0055965,0.02092125,2931.40174684303
"omega[4,2]",0.0146641658138889,0.0134389772754583,0.000223982954590972,0.000400452098632882,-0.0061311,0.00588275,0.01273,0.02161,0.04626575,1342.80553088519
"omega[4,3]",-0.00680382294083333,0.0217927128541429,0.000363211880902382,0.000934055328305021,-0.05636475,-0.0181375,-0.0048705,0.006426,0.0315310000000000,547.983775541415
"omega[4,4]",0.0443409666666667,0.0168555387057610,0.000280925645096016,0.000425450569590596,0.02158925,0.03222,0.041145,0.052525,0.08555025,1933.01576013505
"omega[4,5]",0.000210545991666667,0.0206360922424275,0.000343934870707125,0.000871231508746223,-0.043952,-0.0107475,0.00054155,0.011935,0.040731,598.023661401326
"omega[5,1]",-0.0137095856877778,0.0184055912954829,0.000306759854924714,0.000685864733042624,-0.0556505,-0.0235575,-0.01224,-0.00222075,0.01903,851.750620017736
"omega[5,2]",-0.006602415645,0.0206323562072572,0.000343872603454287,0.00079243836246539,-0.05482525,-0.01691,-0.0050685,0.00487725,0.031493,700.845103046149
"omega[5,3]",-0.00951269747277778,0.0326264062252504,0.000543773437087507,0.00146084370264364,-0.06742275,-0.028515,-0.012445,0.00623625,0.063566,448.007177114857
"omega[5,4]",0.000210545991666667,0.0206360922424275,0.000343934870707125,0.000871231508746223,-0.043952,-0.0107475,0.00054155,0.011935,0.040731,598.023661401326
"omega[5,5]",0.0886824277777778,0.0496482972825528,0.00082747162137588,0.00233577419892948,0.0298285,0.0538375,0.07697,0.110225,0.21251,506.431773632149
